region_code,region_label,region_key,year,source_metric,metric_value_total_thsd_t,metric_name_en,metric_code,metric_value_hazardous_thsd_t,metric_source_note
1200000000,Dnipropetrovsk,dnipropetrovsk,2016,generated_proxy,169940.59999999998,generated,generated,,generated is proxied as recovery + incinerated + disposal because the current official regional file exposes waste-management outcomes.
1200000000,Dnipropetrovsk,dnipropetrovsk,2016,incineration waste,33.0,incinerated,incinerated,,generated is proxied as recovery + incinerated + disposal because the current official regional file exposes waste-management outcomes.
1200000000,Dnipropetrovsk,dnipropetrovsk,2016,recovery waste,66745.7,recovery,recovery,,generated is proxied as recovery + incinerated + disposal because the current official regional file exposes waste-management outcomes.
1400000000,Donetsk,donetsk,2016,disposal waste on landfills,8775.3,disposal_on_landfills,disposal_on_landfills,,generated is proxied as recovery + incinerated + disposal because the current official regional file exposes waste-management outcomes.
1400000000,Donetsk,donetsk,2016,generated_proxy,12560.5,generated,generated,,generated is proxied as recovery + incinerated + disposal because the current official regional file exposes waste-management outcomes.
1400000000,Donetsk,donetsk,2016,incineration waste,27.2,incinerated,incinerated,,generated is proxied as recovery + incinerated + disposal because the current official regional file exposes waste-management outcomes.
1400000000,Donetsk,donetsk,2016,recovery waste,3758.0,recovery,recovery,,generated is proxied as recovery + incinerated + disposal because the current official regional file exposes waste-management outcomes.
2600000000,Ivano-Frankivsk,ivano_frankivsk,2016,disposal waste on landfills,774.7,disposal_on_landfills,disposal_on_landfills,,generated is proxied as recovery + incinerated + disposal because the current official regional file exposes waste-management outcomes.
2600000000,Ivano-Frankivsk,ivano_frankivsk,2016,generated_proxy,1570.6,generated,generated,,generated is proxied as recovery + incinerated + disposal because the current official regional file exposes waste-management outcomes.
2600000000,Ivano-Frankivsk,ivano_frankivsk,2016,incineration waste,114.1,incinerated,incinerated,,generated is proxied as recovery + incinerated + disposal because the current official regional file exposes waste-management outcomes.
2600000000,Ivano-Frankivsk,ivano_frankivsk,2016,recovery waste,681.8,recovery,recovery,,generated is proxied as recovery + incinerated + disposal because the current official regional file exposes waste-management outcomes.
6300000000,Kharkiv,kharkiv,2016,disposal waste on landfills,859.0,disposal_on_landfills,disposal_on_landfills,,generated is proxied as recovery + incinerated + disposal because the current official regional file exposes waste-management outcomes.
6300000000,Kharkiv,kharkiv,2016,generated_proxy,1339.8,generated,generated,,generated is proxied as recovery + incinerated + disposal because the current official regional file exposes waste-management outcomes.
6300000000,Kharkiv,kharkiv,2016,incineration waste,58.8,incinerated,incinerated,,generated is proxied as recovery + incinerated + disposal because the current official regional file exposes waste-management outcomes.
6300000000,Kharkiv,kharkiv,2016,recovery waste,422.0,recovery,recovery,,generated is proxied as recovery + incinerated + disposal because the current official regional file exposes waste-management outcomes.
6500000000,Kherson,kherson,2016,disposal waste on landfills,64.7,disposal_on_landfills,disposal_on_landfills,,generated is proxied as recovery + incinerated + disposal because the current official regional file exposes waste-management outcomes.
6500000000,Kherson,kherson,2016,generated_proxy,113.1,generated,generated,,generated is proxied as recovery + incinerated + disposal because the current official regional file exposes waste-management outcomes.
6500000000,Kherson,kherson,2016,incineration waste,24.9,incinerated,incinerated,,generated is proxied as recovery + incinerated + disposal because the current official regional file exposes waste-management outcomes.
6500000000,Kherson,kherson,2016,recovery waste,23.5,recovery,recovery,,generated is proxied as recovery + incinerated + disposal because the current official regional file exposes waste-management outcomes.
6800000000,Khmelnytskiy,khmelnytskyi,2016,disposal waste on landfills,292.7,disposal_on_landfills,disposal_on_landfills,,generated is proxied as recovery + incinerated + disposal because the current official regional file exposes waste-management outcomes.
6800000000,Khmelnytskiy,khmelnytskyi,2016,generated_proxy,753.5,generated,generated,,generated is proxied as recovery + incinerated + disposal because the current official regional file exposes waste-management outcomes.
6800000000,Khmelnytskiy,khmelnytskyi,2016,incineration waste,10.7,incinerated,incinerated,,generated is proxied as recovery + incinerated + disposal because the current official regional file exposes waste-management outcomes.
6800000000,Khmelnytskiy,khmelnytskyi,2016,recovery waste,450.1,recovery,recovery,,generated is proxied as recovery + incinerated + disposal because the current official regional file exposes waste-management outcomes.
3500000000,Kirovohrad,kirovohrad,2016,disposal waste on landfills,31016.5,disposal_on_landfills,disposal_on_landfills,,generated is proxied as recovery + incinerated + disposal because the current official regional file exposes waste-management outcomes.
3500000000,Kirovohrad,kirovohrad,2016,generated_proxy,34098.0,generated,generated,,generated is proxied as recovery + incinerated + disposal because the current official regional file exposes waste-management outcomes.
3500000000,Kirovohrad,kirovohrad,2016,incineration waste,31.6,incinerated,incinerated,,generated is proxied as recovery + incinerated + disposal because the current official regional file exposes waste-management outcomes.
3500000000,Kirovohrad,kirovohrad,2016,recovery waste,3049.9,recovery,recovery,,generated is proxied as recovery + incinerated + disposal because the current official regional file exposes waste-management outcomes.
4400000000,Luhansk,luhansk,2016,disposal waste on landfills,2117.5,disposal_on_landfills,disposal_on_landfills,,generated is proxied as recovery + incinerated + disposal because the current official regional file exposes waste-management outcomes.
4400000000,Luhansk,luhansk,2016,generated_proxy,2713.9,generated,generated,,generated is proxied as recovery + incinerated + disposal because the current official regional file exposes waste-management outcomes.
4400000000,Luhansk,luhansk,2016,incineration waste,34.2,incinerated,incinerated,,generated is proxied as recovery + incinerated + disposal because the current official regional file exposes waste-management outcomes.
4400000000,Luhansk,luhansk,2016,recovery waste,562.2,recovery,recovery,,generated is proxied as recovery + incinerated + disposal because the current official regional file exposes waste-management outcomes.
4600000000,Lviv,lviv,2016,disposal waste on landfills,1642.5,disposal_on_landfills,disposal_on_landfills,,generated is proxied as recovery + incinerated + disposal because the current official regional file exposes waste-management outcomes.
4600000000,Lviv,lviv,2016,generated_proxy,2183.8,generated,generated,,generated is proxied as recovery + incinerated + disposal because the current official regional file exposes waste-management outcomes.
4600000000,Lviv,lviv,2016,incineration waste,58.6,incinerated,incinerated,,generated is proxied as recovery + incinerated + disposal because the current official regional file exposes waste-management outcomes.
4600000000,Lviv,lviv,2016,recovery waste,482.7,recovery,recovery,,generated is proxied as recovery + incinerated + disposal because the current official regional file exposes waste-management outcomes.
4800000000,Mykolayiv,mykolaiv,2016,disposal waste on landfills,1819.3,disposal_on_landfills,disposal_on_landfills,,generated is proxied as recovery + incinerated + disposal because the current official regional file exposes waste-management outcomes.
4800000000,Mykolayiv,mykolaiv,2016,generated_proxy,1925.8,generated,generated,,generated is proxied as recovery + incinerated + disposal because the current official regional file exposes waste-management outcomes.
4800000000,Mykolayiv,mykolaiv,2016,incineration waste,25.5,incinerated,incinerated,,generated is proxied as recovery + incinerated + disposal because the current official regional file exposes waste-management outcomes.
4800000000,Mykolayiv,mykolaiv,2016,recovery waste,81.0,recovery,recovery,,generated is proxied as recovery + incinerated + disposal because the current official regional file exposes waste-management outcomes.
5100000000,Odesa,odesa,2016,disposal waste on landfills,679.5,disposal_on_landfills,disposal_on_landfills,,generated is proxied as recovery + incinerated + disposal because the current official regional file exposes waste-management outcomes.
5100000000,Odesa,odesa,2016,generated_proxy,703.8,generated,generated,,generated is proxied as recovery + incinerated + disposal because the current official regional file exposes waste-management outcomes.
5100000000,Odesa,odesa,2016,incineration waste,14.0,incinerated,incinerated,,generated is proxied as recovery + incinerated + disposal because the current official regional file exposes waste-management outcomes.
5100000000,Odesa,odesa,2016,recovery waste,10.3,recovery,recovery,,generated is proxied as recovery + incinerated + disposal because the current official regional file exposes waste-management outcomes.
5300000000,Poltava,poltava,2016,disposal waste on landfills,344.5,disposal_on_landfills,disposal_on_landfills,,generated is proxied as recovery + incinerated + disposal because the current official regional file exposes waste-management outcomes.
5300000000,Poltava,poltava,2016,generated_proxy,3994.1,generated,generated,,generated is proxied as recovery + incinerated + disposal because the current official regional file exposes waste-management outcomes.
5300000000,Poltava,poltava,2016,incineration waste,34.4,incinerated,incinerated,,generated is proxied as recovery + incinerated + disposal because the current official regional file exposes waste-management outcomes.
5300000000,Poltava,poltava,2016,recovery waste,3615.2,recovery,recovery,,generated is proxied as recovery + incinerated + disposal because the current official regional file exposes waste-management outcomes.
5600000000,Rivne,rivne,2016,disposal waste on landfills,155.4,disposal_on_landfills,disposal_on_landfills,,generated is proxied as recovery + incinerated + disposal because the current official regional file exposes waste-management outcomes.
5600000000,Rivne,rivne,2016,generated_proxy,294.5,generated,generated,,generated is proxied as recovery + incinerated + disposal because the current official regional file exposes waste-management outcomes.
5600000000,Rivne,rivne,2016,incineration waste,73.9,incinerated,incinerated,,generated is proxied as recovery + incinerated + disposal because the current official regional file exposes waste-management outcomes.
5600000000,Rivne,rivne,2016,recovery waste,65.2,recovery,recovery,,generated is proxied as recovery + incinerated + disposal because the current official regional file exposes waste-management outcomes.
6100000000,Ternopil,ternopil,2016,disposal waste on landfills,28.7,disposal_on_landfills,disposal_on_landfills,,generated is proxied as recovery + incinerated + disposal because the current official regional file exposes waste-management outcomes.
6100000000,Ternopil,ternopil,2016,generated_proxy,117.5,generated,generated,,generated is proxied as recovery + incinerated + disposal because the current official regional file exposes waste-management outcomes.
6100000000,Ternopil,ternopil,2016,incineration waste,5.7,incinerated,incinerated,,generated is proxied as recovery + incinerated + disposal because the current official regional file exposes waste-management outcomes.
